Attraction,Address,Website,Description,Photo URL,Atraction Type,Lat ,Long
Canal Park,"Canal Park, Duluth, MN 55802",https://canalpark.com/,"Canal Park is a tourist and recreation-oriented district of Duluth, Minnesota, United States. Situated across the Interstate 35 freeway from Downtown Duluth, it is connected by the famous Aerial Lift Bridge to the Park Point sandbar and neighborhood.",https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwikitravel.org%2Fupload%2Fshared%2Fd%2Fd5%2FCanal_Park.jpg&f=1&nofb=1&ipt=ffcb1b11b53d56e374e7dad954cea70f9fa22fda1372be3420292a745037c03b,Shopping & Dining,46.7834049,-92.0944423
Aerial Lift Bridge,"601 S Lake Ave, Duluth, MN 55802",http://www.goduluthmn.com/best-duluth-attractions/aerial-lift-bridge/,"The Aerial Lift Bridge is a landmark in the port city of Duluth, Minnesota. The span began life in 1905 as the United States' first transporter bridge. In 1929–30, the span was converted to a vertical lift bridge, and continues to operate today.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Aerial_lift_bridge_duluth_mn.jpg/1200px-Aerial_lift_bridge_duluth_mn.jpg,Historic & Cultural,46.7798807,-92.0936622
Glensheen,"3300 London Rd, Duluth, MN 55804",https://glensheen.org/,"Glensheen, the Historic Congdon Estate is a 20,000 square foot mansion in Duluth, Minnesota, United States, operated by the University of Minnesota Duluth as a historic house museum.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Glensheen.JPG/1200px-Glensheen.JPG,Historic & Cultural,46.8151593,-92.0517438
Great Lakes Aquarium,"353 Harbor Dr, Duluth, MN 55802",https://glaquarium.org/,"The Great Lakes Aquarium opened in 2000 and is located on the Duluth waterfront. A 501 private nonprofit, its mission is to inspire people to explore their connection to Lake Superior and waters of the world.",https://mommybunch.com/wp-content/uploads/2016/07/great-lakes-aquarium-tank.jpg,Family Attractions,46.7789702,-92.1001071
Jay Cooke State Park,"780 MN-210, Carlton, MN 55718",https://www.dnr.state.mn.us/state_parks/park.html?id=spk00187#homepage,"Jay Cooke State Park is a state park of Minnesota, United States, protecting the lower reaches of the St. Louis River. The park is located about 10 miles southwest of Duluth and is one of the ten most visited state parks in Minnesota. The western half of the park contains part of a rocky, 13-mile gorge.",https://img.apmcdn.org/8122250fdb2574f5cdf9fd800f1236ee160a79d4/uncropped/da38a0-statewide-files-2013-11-new-bridge.png,Parks & Nature,46.6568392,-92.3711409
Duluth Farmers Market,"1324 E 3rd St, Duluth, MN 55805, USA",https://www.duluthfarmersmarket.com/,"Duluth Farmer Market is a locally centered market offering a wide variety of fruits, veggies, flowers, meats, honey, dairy, and preserves. Open seasonally, Wednesdays and Saturdays.",https://www.duluthfarmersmarket.com/wp-content/uploads/2018/03/FARMERS0503c2.jpg,Local Markets,46.8024114,-92.083702
Leif Erikson Park,"1301 London Rd, Duluth, MN 55805",https://duluthmn.gov/parks/parks-trails/parks-listing/leif-erikson-park/,"Leif Erikson Park is a green space along the shore of Lake Superior. It is known for its expansive Rose Garden featuring a marble gazebo, a fountain, and over 3000 blooming rose bushes. It's a scenic and relaxing spot for a nice break from the city",https://destinationduluth.org/wp-content/uploads/2025/07/Duluth-MN-Leif-Erikson-Park-Rose-Garden-Lakewalk-Lake-Superior-Gazebo-1024x682.jpg,Parks & Nature,46.798627,-92.080576
Lake Superior Zoo,"7210 Fremont St, Duluth, MN 55807",https://lszoo.org/,The Lake Superior Zoo is open year-round and is a family-friendly atmosphere. The zoo features over 300 animals and 140 species. Features both indoor and outdoor exhibits and focuses on animal welfare and conservation. ,https://townsquare.media/site/150/files/2020/12/RS40074_DSC_6069-scr.jpg?w=780&q=75,Family Attractions,46.7260545,-92.1896115
Hartley Nature Center,"3001 Woodland Ave, Duluth, MN 55803",https://hartleynature.org/,"Hartley Nature Center offers a large area for hiking, cycling, cross-country skiing, and fishing. There is also a nature center with exhibits. They are a nonprofit organization dedicated to environmental education for all. They provide programs, equipment rental, park and trail work, and general park information.",https://duluthmn.gov/media/6746/hartleyfield2008naturecenter_278x186.jpg,Parks & Nature,46.8387556,-92.1896115
Fitger's Complex,"600 E Superior St, Duluth, MN 55802",https://fitgers.com/,"Fitger's is a historic, repurposed brewery complex on Lake Superior. The complex stretched 700 feet along the Lake Superior shore. It is a rustic-chic hub featuring a renowned brewpub, a boutique hotel, shops, and a spa. It is a central gathering place hosting events like live music and festivals.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Fitger%27s_Brewing_Company_complex_2016.jpg/330px-Fitger%27s_Brewing_Company_complex_2016.jpg,Historic & Cultural,46.792207,-92.0908787
